City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Desc,Country
Turukhansk,65.8167,87.9833,39.6,97,100,8.52,light rain,RU
Guzelyurt,38.2772,34.3719,70.23,25,4,4.92,clear sky,TR
Ginda,30.6945,78.4932,62.42,89,0,3.89,clear sky,IN
Riyadh,24.6877,46.7219,96.94,9,46,7.14,scattered clouds,SA
Hospet,15.2667,76.4,72.88,84,100,21.16,overcast clouds,IN
Lakhdenpokhya,61.5198,30.1992,52.21,74,100,6.53,overcast clouds,RU
Porbandar,21.6422,69.6093,81.27,87,100,16.82,very heavy rain,IN
Impfondo,1.6381,18.0667,73.69,89,86,2.33,overcast clouds,CG
Odesskoye,54.2111,72.9651,47.75,52,92,3.74,overcast clouds,RU
Guane,22.2025,-84.0875,90.77,53,49,6.35,scattered clouds,CU
Ancud,-41.8697,-73.8203,53.22,67,100,2.75,overcast clouds,CL
Harper,4.375,-7.7169,77.04,80,97,9.22,overcast clouds,LR
Lasa,46.6166,10.7002,65.35,55,71,1.92,broken clouds,IT
Barranca,-10.75,-77.7667,64.0,72,81,12.15,broken clouds,PE
Kyshtovka,56.555,76.6271,41.4,68,93,3.8,overcast clouds,RU
Vrede,-27.4257,29.1659,52.23,77,84,13.69,broken clouds,ZA
Port-Gentil,-0.7193,8.7815,76.35,80,13,12.57,few clouds,GA
Pachino,36.7186,15.0907,78.58,64,6,6.49,clear sky,IT
Porto Santo,33.072,-16.3415,77.38,69,20,17.27,few clouds,PT
Urucara,-2.5364,-57.76,102.94,23,58,4.07,light rain,BR
Stolin,51.8912,26.846,50.59,95,100,7.02,overcast clouds,BY
Komsomolskiy,40.4272,71.7189,57.92,77,93,6.91,overcast clouds,UZ
Bela,25.9333,81.9833,78.57,88,51,17.13,moderate rain,IN
Kushchevskaya,46.5564,39.6386,68.97,71,99,4.92,overcast clouds,RU
Coquimbo,-29.9533,-71.3436,60.53,63,0,12.66,clear sky,CL
Uribia,11.7139,-72.266,90.16,51,87,5.57,overcast clouds,CO
Comodoro Rivadavia,-45.8667,-67.5,51.66,54,0,11.5,clear sky,AR
Salym,60.0625,71.4789,40.26,75,66,4.54,broken clouds,RU
Gumdag,39.2061,54.5906,75.02,15,0,23.91,clear sky,TM
Loharu,28.45,75.8167,86.92,54,26,6.6,scattered clouds,IN
Mangaratiba,-22.9597,-44.0406,73.2,71,63,10.56,broken clouds,BR
Harbour Breton,47.4833,-55.7983,61.02,87,98,20.8,overcast clouds,CA
Senneterre,48.3835,-77.2328,65.43,79,87,2.24,overcast clouds,CA
